Age_Group,Sex,Year_Level,In_relationship,Personality,Home_Region,Living_Situation,Dorm_Area,Roommates,Degree_Program,In_Organization,Hours_of_Study_per_Week,Monthly_Allowance,Family_Monthly_Income,Have_Scholarship,Have_Job,Meal_Preferences,Frequency_of_Going_Home,Have_Health_Concern,Preferred_Payment_Method,Living_Expenses,Food_and_Dining_Expenses,Transportation_Expenses,Leisure_and_Entertainment_Expenses,Academic_Expenses
18-20,Male,Sophomore,No,Extrovert,Metro Manila,Inside campus,UP Dorm,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,10000,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Cash,1086,1500,860,1000,2000
18-20,Female,Junior,No,Introvert,Metro Manila,Inside campus,UP Dorm,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,6255,"P12,031 - P24,060",Yes,No,A combination of the above,Rarely,Yes,Cash,1019,4000,136,1000,100
21-23,Female,Senior,No,Ambivert,Mindanao,Outside Campus,Demarces,I live with 2-3 roommates,BS Agricultural Chemistry,Yes,21-30 hours,20500,"P84,211 - P144,360",Yes,No,A combination of the above,Rarely,Yes,Combination of the three,4000,4000,10000,1000,1500
21-23,Female,Junior,Yes,Ambivert,Central Luzon,With family,Others,With family,BS Agriculture,No,10-20 hours,18000,"P12,031 - P24,060",No,No,A combination of the above,Always,No,Cash,0,15000,500,2000,500
18-20,Female,Junior,No,Extrovert,Central Luzon,Outside Campus,Raymundo,I live with 2-3 roommates,BS Agriculture,Yes,21-30 hours,8350,"P12,031 - P24,060",No,No,A combination of the above,Rarely,No,Online Payment ,3500,4000,150,500,200
21-23,Female,Junior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Kanan,I live with 2-3 roommates,BS Statistics,No,21-30 hours,12200,"P12,031 - P24,060",Yes,Yes,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Cash,3700,5000,1500,1000,1000
18-20,Male,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with 2-3 roommates,BS Computer Science,No,10-20 hours,10500,"P12,031 - P24,060",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,4500,4000,500,1000,500
18-20,Male,Junior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with 1 roommate,BS Agricultural Chemistry,No,10-20 hours,6000,"P24,061 - P48,120",Yes,No,A combination of the above,Always,No,Cash,4200,1000,400,200,200
18-20,Female,Junior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),With family,Maahas,With family,BS Statistics,Yes,10-20 hours,4700,"Less than P12,030",Yes,No,A combination of the above,Always,No,Combination of the three,0,2400,1600,500,200
21-23,Female,Senior,No,Ambivert,Metro Manila,Outside Campus,Demarces,I live with 1 roommate,BS Statistics,Yes,10-20 hours,16500,"P144,361 - P240,600",No,No,A combination of the above,Often,No,Online Payment ,5000,6000,500,3000,2000
21-23,Female,Senior,No,Introvert,Metro Manila,Outside Campus,Raymundo,I live with 1 roommate,BS Statistics,Yes,Less then 10 hours,14000,"P84,211 - P144,360",No,No,A combination of the above,Sometimes,Yes,Online Payment ,6000,4500,1000,2000,500
21-23,Male,Junior,Yes,Ambivert,Metro Manila,Outside Campus,Demarces,I live with 2-3 roommates,BS Statistics,Yes,21-30 hours,12600,"P48,121 - P84,210",No,No,A combination of the above,Often,No,Combination of the three,4000,7000,400,1000,200
21-23,Male,Junior,No,Introvert,Central Luzon,With family,Others,With family,BS Agriculture,Yes,10-20 hours,6500,"P84,211 - P144,360",Yes,No,A combination of the above,Always,No,Cash,0,4000,1000,500,1000
21-23,Female,Junior,No,Introvert,Metro Manila,Inside campus,Kaliwa,I live with 1 roommate,BS Statistics,Yes,Less then 10 hours,20100,"P144,361 - P240,600",No,No,A combination of the above,Often,No,Combination of the three,7000,10000,1000,2000,100
18-20,Female,Junior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),With family,Bae,With family,BS Agriculture,No,21-30 hours,7050,"P24,061 - P48,120",Yes,No,A combination of the above,Always,No,Cash,0,5000,1050,500,500
18-20,Female,Junior,Yes,Ambivert,Metro Manila,Outside Campus,Umali,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,4600,"P84,211 - P144,360",No,Yes,I cook my meals,Often,Yes,Cash,3000,900,300,200,200
21-23,Male,Junior,Yes,Introvert,Metro Manila,Inside campus,UP Dorm,I live with 2-3 roommates,BS Computer Science,No,Less then 10 hours,3110,"P48,121 - P84,210",No,No,I cook my meals,Always,No,Cash,1000,800,1200,100,10
18-20,Female,Junior,No,Extrovert,Metro Manila,Outside Campus,Umali,I live alone,BS Statistics,Yes,10-20 hours,11000,"P48,121 - P84,210",No,No,I cook my meals,Often,No,Combination of the three,4000,4500,1000,1000,500
18-20,Female,Freshman,Yes,Ambivert,Metro Manila,Outside Campus,Umali,I live with 1 roommate,BS Statistics,Yes,10-20 hours,9800,"P24,061 - P48,120",Yes,No,A combination of the above,Sometimes,No,Combination of the three,3800,4000,500,1000,500
18-20,Male,Freshman,No,Introvert,Central Luzon,Inside campus,Kanan,I live with 2-3 roommates,BS Statistics,Yes,21-30 hours,"16,000","P144,361 - P240,600",No,No,A combination of the above,Sometimes,No,Cash,5500,8000,0,1500,1000
18-20,Female,Sophomore,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with 1 roommate,BS Chemistry,Yes,10-20 hours,14600,"P48,121 - P84,210",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,Yes,Cash,6000,5600,1500,1000,500
18-20,Female,Freshman,No,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,6700,"Less than P12,030",No,No,A combination of the above,Often,No,Combination of the three,1200,4000,500,500,500
18-20,Female,Sophomore,Yes,Ambivert,Mindanao,Inside campus,Kanan,I live with more than 3 roommates,BS Statistics,Yes,21-30 hours,28000,"P144,361 - P240,600",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,Yes,Combination of the three,6000,8000,7000,3000,1000
21-23,Male,Junior,No,Extrovert,Metro Manila,Inside campus,Umali,I live with 1 roommate,BS Statistics,Yes,Less then 10 hours,14000,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Cash,3500,6000,1500,2000,1000
21-23,Male,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Umali,I live alone,BS Statistics,No,10-20 hours,8900,"P48,121 - P84,210",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Combination of the three,3000,5500,200,200,0
21-23,Male,Junior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Agapita,I live with 1 roommate,BS Agriculture,Yes,Less then 10 hours,10700,"P24,061 - P48,120",Yes,No,A combination of the above,Sometimes,No,Cash,4500,5000,700,300,200
21-23,Male,Sophomore,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live with more than 3 roommates,BS Computer Science,No,21-30 hours,10100,"P84,211 - P144,360",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,4000,5000,500,300,300
21-23,Male,Sophomore,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with more than 3 roommates,BS Statistics,Yes,10-20 hours,2000,"P12,031 - P24,060",Yes,No,I cook my meals,Sometimes,No,Combination of the three,0,1000,0,500,500
21-23,Female,Junior,No,Introvert,Metro Manila,Inside campus,Kaliwa,I live with 1 roommate,BS Statistics,Yes,10-20 hours,13900,"P48,121 - P84,210",No,No,A combination of the above,Often,Yes,Combination of the three,5000,6000,900,1500,500
18-20,Female,Freshman,Yes,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Lopez Ave,I live with 1 roommate,BS Statistics,Yes,Less then 10 hours,19500,"P84,211 - P144,360",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,Yes,Cash,8000,8000,500,2000,1000
21-23,Female,Senior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Umali,I live with more than 3 roommates,BS Agricultural Biotechnology,Yes,10-20 hours,7800,"P12,031 - P24,060",Yes,No,A combination of the above,Rarely,No,Cash,2800,3000,1000,500,500
18-20,Male,Freshman,Yes,Ambivert,Central Luzon,Outside Campus,Lopez Ave,I live with 2-3 roommates,BS Computer Science,No,21-30 hours,14250,"P24,061 - P48,120",Yes,No,A combination of the above,Rarely,Yes,Cash,4000,7000,1000,250,2000
18-20,Female,Sophomore,Yes,Ambivert,Metro Manila,Outside Campus,Lopez Ave,I live with 2-3 roommates,BS Computer Science,No,10-20 hours,11000,"P24,061 - P48,120",Yes,No,A combination of the above,Always,No,Combination of the three,6000,3000,1000,500,500
18-20,Male,Sophomore,No,Extrovert,Metro Manila,Outside Campus,Raymundo,I live with 1 roommate,BS Chemistry,Yes,10-20 hours,17000,"P84,211 - P144,360",No,No,A combination of the above,Often,No,Combination of the three,5000,5000,1000,5000,1000
18-20,Female,Freshman,Yes,Introvert,Central Luzon,Inside campus,Kaliwa,I live with 2-3 roommates,BS Statistics,Yes,Less then 10 hours,10000,"P12,031 - P24,060",No,No,A combination of the above,Not at all,No,Online Payment ,4000,5000,1000,0,0
21-23,Female,Junior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live with 2-3 roommates,BS Statistics,No,10-20 hours,7800,"P24,061 - P48,120",No,No,A combination of the above,Sometimes,Yes,Online Payment ,3500,3000,300,500,500
21-23,Male,Sophomore,Yes,Ambivert,Metro Manila,Outside Campus,Demarces,I live alone,BS Statistics,Yes,21-30 hours,17000,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,Yes,Cash,6000,6000,1000,1000,2000
18-20,Female,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with 1 roommate,BS Statistics,Yes,Less then 10 hours,11400,"P84,211 - P144,360",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Combination of the three,6000,4000,600,500,300
18-20,Male,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Computer Science,No,Less then 10 hours,6900,"P24,061 - P48,120",No,No,A combination of the above,Always,No,Cash,1500,4000,1200,0,200
21-23,Female,Junior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,7000,"P48,121 - P84,210",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Online Payment ,1124,2500,700,2000,500
18-20,Male,Freshman,No,Introvert,Central Luzon,With family,Others,With family,BS Computer Science,No,Less then 10 hours,8000,"P48,121 - P84,210",Yes,No,A combination of the above,Rarely,No,Combination of the three,0,0,1700,0,500
21-23,Female,Senior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Lopez Ave,I live with 1 roommate,BS Agricultural Chemistry,Yes,10-20 hours,14400,"P24,061 - P48,120",Yes,No,A combination of the above,Rarely,Yes,Combination of the three,4500,7000,600,2000,300
18-20,Male,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Agapita,I live with 2-3 roommates,BS Statistics,Yes,Less then 10 hours,13100,"P24,061 - P48,120",No,No,A combination of the above,Sometimes,No,Combination of the three,8000,3500,300,1000,300
21-23,Female,Junior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live alone,BS Statistics,Yes,31-40 hours,12000,"P12,031 - P24,060",No,No,A combination of the above,Rarely,No,Combination of the three,5000,3500,2000,1000,500
18-20,Female,Freshman,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,12500,"P48,121 - P84,210",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,4500,4000,2000,1000,1000
21-23,Female,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with more than 3 roommates,BS Statistics,Yes,10-20 hours,11550,"P144,361 - P240,600",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Combination of the three,6050,4800,200,400,100
18-20,Male,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Raymundo,I live with 2-3 roommates,BS Computer Science,No,10-20 hours,13000,"P84,211 - P144,360",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,4800,7200,500,500,0
18-20,Male,Freshman,No,Introvert,Metro Manila,Inside campus,Kaliwa,I live alone,BS Statistics,Yes,10-20 hours,15500,"P48,121 - P84,210",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Online Payment ,6500,6000,500,2000,500
18-20,Male,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with more than 3 roommates,BS Computer Science,No,21-30 hours,6050,"P24,061 - P48,120",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,2000,2500,750,500,300
21-23,Female,Senior,No,Ambivert,Visayas,Inside campus,Kaliwa,I live alone,BS Agriculture,Yes,Less then 10 hours,16000,"P48,121 - P84,210",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,Yes,Combination of the three,3800,9000,500,0,0
21-23,Female,Junior,Yes,Ambivert,Mindanao,Inside campus,UP Dorm,I live with 2-3 roommates,BS Agriculture,Yes,10-20 hours,15400,"Less than P12,030",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Cash,900,3000,10000,500,1000
18-20,Female,Freshman,Yes,Extrovert,Central Luzon,Outside Campus,Raymundo,I live with 2-3 roommates,BS Statistics,Yes,Less then 10 hours,11700,"P48,121 - P84,210",Yes,No,A combination of the above,Always,No,Combination of the three,3900,5000,2500,0,300
18-20,Female,Junior,No,Introvert,Metro Manila,Inside campus,Raymundo,I live with 1 roommate,BS Statistics,Yes,More then 40 hours,10900,"P48,121 - P84,210",No,No,I cook my meals,Rarely,No,Online Payment ,3300,6000,500,700,400
18-20,Female,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Demarces,I live with 2-3 roommates,BS Computer Science,No,21-30 hours,4693,"P24,061 - P48,120",No,No,A combination of the above,Always,No,Cash and Online Payment ,3200,500,93,600,300
18-20,Female,Freshman,Yes,Introvert,Metro Manila,Outside Campus,Raymundo,I live with 1 roommate,BS Statistics,Yes,Less then 10 hours,6150,"P12,031 - P24,060",Yes,No,A combination of the above,Always,No,Combination of the three,4500,1000,350,100,200
21-23,Male,Junior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),With family,Kanan,With family,BS Statistics,Yes,Less then 10 hours,20000,"More than P240,601",No,No,A combination of the above,Not at all,No,Cash,0,13000,500,6000,500
18-20,Female,Freshman,No,Introvert,Metro Manila,Outside Campus,Demarces,I live with 2-3 roommates,BS Statistics,Yes,21-30 hours,5025,"P12,031 - P24,060",Yes,No,A combination of the above,Often,No,Cash,3500,875,500,150,0
18-20,Female,Sophomore,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with more than 3 roommates,BS Statistics,Yes,10-20 hours,10000,"P84,211 - P144,360",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,4000,5000,300,500,200
18-20,Male,Sophomore,Yes,Introvert,Central Luzon,Inside campus,UP Dorm,I live with 2-3 roommates,BS Statistics,Yes,More then 40 hours,37500,"Less than P12,030",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Combination of the three,7500,7500,7500,7500,7500
18-20,Male,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Demarces,I live with 2-3 roommates,BS Food Science and Technology,Yes,21-30 hours,15000,"P48,121 - P84,210",No,No,A combination of the above,Rarely,No,Combination of the three,4000,5500,1500,2000,2000
18-20,Male,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with more than 3 roommates,BS Biology,Yes,31-40 hours,8000,"P24,061 - P48,120",Yes,No,A combination of the above,Often,No,Combination of the three,3150,2100,300,500,150
18-20,Male,Sophomore,Yes,Extrovert,Metro Manila,Inside campus,Raymundo,I live with more than 3 roommates,BS Applied Mathematics,Yes,Less then 10 hours,8300,"P84,211 - P144,360",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Cash,6000,1000,200,1000,100
18-20,Female,Freshman,No,Introvert,Central Luzon,With family,Umali,With family,BS Biology,Yes,More then 40 hours,21800,"P84,211 - P144,360",Yes,No,A combination of the above,Always,Yes,Cash,0,12000,3800,3000,3000
21-23,Female,Junior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),With family,Others,With family,BS Agriculture,Yes,Less then 10 hours,5500,"Less than P12,030",No,Yes,A combination of the above,Always,No,Combination of the three,0,3000,2000,0,500
18-20,Female,Junior,Yes,Introvert,Metro Manila,Outside Campus,Kaliwa,I live with more than 3 roommates,BS Agriculture,Yes,10-20 hours,10500,"P24,061 - P48,120",Yes,No,A combination of the above,Always,No,Cash,3500,5000,1200,500,300
21-23,Female,Senior,Yes,Introvert,Metro Manila,With family,Kanan,With family,BS Agriculture,No,10-20 hours,6000,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,0,3000,1500,1000,500
18-20,Male,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Others,I live with 1 roommate,BS Biology,No,More then 40 hours,12000,"More than P240,601",No,No,A combination of the above,Rarely,No,Online Payment ,6000,150,0,0,1500
24-26,Male,Junior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Umali,I live with 1 roommate,BS Applied Physics,Yes,10-20 hours,8900,"P12,031 - P24,060",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,Yes,Online Payment ,7500,400,0,1000,0
18-20,Female,Freshman,Yes,Ambivert,Metro Manila,Outside Campus,Umali,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,"6,750","P84,211 - P144,360",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,Yes,Cash,4000,2000,300,200,250
21-23,Female,Junior,No,Introvert,Metro Manila,Outside Campus,Raymundo,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,9100,"P24,061 - P48,120",Yes,No,A combination of the above,Always,No,Combination of the three,4000,1500,600,2000,1000
18-20,Male,Freshman,No,Introvert,Metro Manila,Inside campus,Kaliwa,I live with 2-3 roommates,BS Food Science and Technology,No,Less then 10 hours,10850,"More than P240,601",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Combination of the three,4800,5000,300,600,150
18-20,Male,Sophomore,No,Introvert,Metro Manila,Inside campus,Kanan,I live with 2-3 roommates,BS Computer Science,No,21-30 hours,11000,"P24,061 - P48,120",No,No,A combination of the above,Often,No,Cash,4000,3000,1000,1000,2000
21-23,Female,Senior,Yes,Introvert,Metro Manila,Outside Campus,Umali,I live with 1 roommate,BS Biology,No,10-20 hours,6500,"P24,061 - P48,120",No,Yes,A combination of the above,Sometimes,Yes,Online Payment ,200,5000,300,500,150
18-20,Male,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Kaliwa,I live with more than 3 roommates,BS Food Science and Technology,Yes,21-30 hours,7668,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,2700,3600,368,800,200
18-20,Male,Junior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with more than 3 roommates,BS Agriculture,Yes,21-30 hours,5000,"Less than P12,030",Yes,Yes,A combination of the above,Rarely,No,Combination of the three,500,120,600,1000,0
18-20,Male,Freshman,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with 1 roommate,BS Food Science and Technology,No,10-20 hours,15500,"P84,211 - P144,360",No,No,A combination of the above,Rarely,Yes,Cash,5500,8000,0,1000,1000
21-23,Female,Junior,Yes,Introvert,Central Luzon,Outside Campus,Umali,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,9350,"P12,031 - P24,060",No,Yes,A combination of the above,Often,Yes,Cash,2900,4500,600,1000,350
18-20,Male,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Others,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,9800,"P48,121 - P84,210",No,Yes,I cook my meals,Always,No,Combination of the three,3000,3000,3200,500,100
18-20,Male,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live with more than 3 roommates,BS Statistics,Yes,Less then 10 hours,10400,"P48,121 - P84,210",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Cash,4000,5000,400,500,500
21-23,Female,Senior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Lopez Ave,I live alone,BS Statistics,Yes,Less then 10 hours,13700,"P84,211 - P144,360",No,No,A combination of the above,Rarely,No,Cash,3100,7500,250,2500,350
21-23,Female,Junior,Yes,Extrovert,Metro Manila,Outside Campus,Raymundo,I live with more than 3 roommates,BS Statistics,Yes,31-40 hours,21225,"P24,061 - P48,120",No,Yes,A combination of the above,Often,No,Cash,5930,7795,2000,5000,500
21-23,Female,Senior,No,Introvert,Metro Manila,Inside campus,Kanan,I live with 1 roommate,BS Statistics,Yes,Less then 10 hours,9200,"P48,121 - P84,210",No,No,A combination of the above,Always,No,Combination of the three,4500,4000,200,300,200
18-20,Female,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),With family,Raymundo,With family,BS Computer Science,No,10-20 hours,4000,"Less than P12,030",Yes,No,I cook my meals,Always,Yes,Cash,0,600,0,300,500
18-20,Female,Sophomore,No,Ambivert,Visayas,Outside Campus,Mayondon,I live with 1 roommate,BS Chemistry,No,31-40 hours,7000,"P24,061 - P48,120",Yes,No,A combination of the above,Rarely,No,Combination of the three,2500,1500,700,500,500
21-23,Female,Senior,No,Introvert,Central Luzon,Outside Campus,Umali,I live with more than 3 roommates,BS Statistics,Yes,21-30 hours,12000,"P12,031 - P24,060",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Combination of the three,4500,4500,800,2000,100
21-23,Female,Junior,No,Introvert,Metro Manila,Outside Campus,Raymundo,I live with more than 3 roommates,BS Statistics,Yes,21-30 hours,12435,"P48,121 - P84,210",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,Yes,Combination of the three,4235,7000,500,500,200
21-23,Male,Junior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),With family,Others,With family,BS Agriculture,Yes,Less then 10 hours,10000,"More than P240,601",No,No,A combination of the above,Always,Yes,Cash,0,6000,0,1000,1000
18-20,Female,Freshman,No,Ambivert,Metro Manila,Outside Campus,Demarces,I live with more than 3 roommates,BS Food Science and Technology,Yes,21-30 hours,"7,500","P24,061 - P48,120",Yes,Yes,I cook my meals,Always,Yes,Combination of the three,3500,2000,1200,500,300
18-20,Male,Sophomore,No,Introvert,Mindanao,Inside campus,Others,I live with 1 roommate,BS Chemistry,Yes,10-20 hours,18800,"P24,061 - P48,120",Yes,No,A combination of the above,Rarely,No,Combination of the three,6000,4000,800,3000,5000
18-20,Female,Freshman,Yes,Introvert,Visayas,Inside campus,UP Dorm,I live with 2-3 roommates,BS Mathematics,Yes,10-20 hours,4200,"Less than P12,030",Yes,No,I buy pre-packaged food,Not at all,No,Cash,1000,2000,500,400,300
18-20,Male,Freshman,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live with 1 roommate,BS Statistics,Yes,Less then 10 hours,10000,"Less than P12,030",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Cash,3500,5000,200,1200,100
21-23,Female,Senior,No,Ambivert,Metro Manila,Outside Campus,Raymundo,I live with more than 3 roommates,BS Statistics,Yes,21-30 hours,11200,"P12,031 - P24,060",Yes,No,A combination of the above,Often,No,Combination of the three,2500,6000,400,2000,300
24-26,Male,Junior,No,Ambivert,Central Luzon,Outside Campus,Demarces,I live alone,BS Statistics,No,More then 40 hours,80000,"More than P240,601",No,Yes,A combination of the above,Rarely,No,Combination of the three,25000,30000,5000,15000,5000
18-20,Male,Sophomore,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Computer Science,Yes,21-30 hours,8000,"P24,061 - P48,120",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,1000,4000,500,2000,500
18-20,Male,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Demarces,I live with 2-3 roommates,BS Applied Mathematics,Yes,Less then 10 hours,13000,"P24,061 - P48,120",No,No,A combination of the above,Often,No,Combination of the three,4300,8000,300,0,400
18-20,Male,Freshman,Yes,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,8000,"P84,211 - P144,360",No,Yes,A combination of the above,Rarely,No,Combination of the three,1064,3000,1400,1000,500
21-23,Female,Junior,No,Introvert,Metro Manila,Outside Campus,Umali,I live with more than 3 roommates,BS Agriculture,Yes,10-20 hours,11500,"P48,121 - P84,210",No,No,A combination of the above,Often,No,Cash,3000,5000,1500,1000,1000
18-20,Female,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live with 1 roommate,BS Food Science and Technology,No,More then 40 hours,11800,"P24,061 - P48,120",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,3800,2800,480,125,300
18-20,Male,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with more than 3 roommates,BS Statistics,Yes,Less then 10 hours,8500,"P12,031 - P24,060",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,Yes,Cash,1000,6000,500,500,500
18-20,Female,Freshman,No,Ambivert,Central Luzon,Inside campus,UP Dorm,I live with more than 3 roommates,BS Statistics,Yes,10-20 hours,5000,"Less than P12,030",Yes,No,I cook my meals,Often,No,Cash,800,100,200,200,200
18-20,Male,Freshman,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with more than 3 roommates,BS Statistics,Yes,10-20 hours,8000,"P12,031 - P24,060",Yes,No,A combination of the above,Often,No,Cash,800,4000,2200,500,500
18-20,Male,Freshman,No,Introvert,Metro Manila,Outside Campus,Raymundo,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,9500,"P24,061 - P48,120",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,3500,3000,1000,1500,500
21-23,Female,Senior,No,Ambivert,Metro Manila,Inside campus,UP Dorm,I live with 2-3 roommates,BS Statistics,Yes,21-30 hours,8520,"P24,061 - P48,120",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,1300,5600,1020,500,100
21-23,Male,Sophomore,No,Introvert,Mindanao,Inside campus,Kanan,I live alone,BS Applied Mathematics,No,10-20 hours,8960,"P144,361 - P240,600",No,No,A combination of the above,Rarely,No,Combination of the three,3500,4000,960,200,300
